code_edi;tableau_nom;libelle_ligne;label_col1;label_col2;label_col3
13371;Table 1;Crédits de trésorerie;Valeur 1;Valeur 2;Valeur 3
13450;Table 1;Crédits de trésorerie;Valeur 1;Valeur 2;Valeur 3
13372;Table 1;Banques (soldes créditeurs);Valeur 1;Valeur 2;Valeur 3
13451;Table 1;Banques (soldes créditeurs);Valeur 1;Valeur 2;Valeur 3
13369;Table 1;TOTAL III;Valeur 1;Valeur 2;Valeur 3
13452;Table 1;TOTAL III;Valeur 1;Valeur 2;Valeur 3
13368;Table 1;TOTAL GENERAL I+II+III;Valeur 1;Valeur 2;Valeur 3
13453;Table 1;TOTAL GENERAL I+II+III;Valeur 1;Valeur 2;Valeur 3
11176;Table 1;I. PRODUITS D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11177;Table 1;I. PRODUITS D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11178;Table 1;I. PRODUITS D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11179;Table 1;I. PRODUITS D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11181;Table 1;* Ventes de marchandises (en l'état);Valeur 1;Valeur 2;Valeur 3
11182;Table 1;* Ventes de marchandises (en l'état);Valeur 1;Valeur 2;Valeur 3
11183;Table 1;* Ventes de marchandises (en l'état);Valeur 1;Valeur 2;Valeur 3
11184;Table 1;* Ventes de marchandises (en l'état);Valeur 1;Valeur 2;Valeur 3
11186;Table 1;* Ventes de biens et services produits;Valeur 1;Valeur 2;Valeur 3
11187;Table 1;* Ventes de biens et services produits;Valeur 1;Valeur 2;Valeur 3
11188;Table 1;* Ventes de biens et services produits;Valeur 1;Valeur 2;Valeur 3
11189;Table 1;* Ventes de biens et services produits;Valeur 1;Valeur 2;Valeur 3
14021;Table 1;* Chiffres d'affaires;Valeur 1;Valeur 2;Valeur 3
14022;Table 1;* Chiffres d'affaires;Valeur 1;Valeur 2;Valeur 3
14023;Table 1;* Chiffres d'affaires;Valeur 1;Valeur 2;Valeur 3
14024;Table 1;* Chiffres d'affaires;Valeur 1;Valeur 2;Valeur 3
11191;Table 1;* Variation de stocks de produits (1);Valeur 1;Valeur 2;Valeur 3
11192;Table 1;* Variation de stocks de produits (1);Valeur 1;Valeur 2;Valeur 3
11193;Table 1;* Variation de stocks de produits (1);Valeur 1;Valeur 2;Valeur 3
11194;Table 1;* Variation de stocks de produits (1);Valeur 1;Valeur 2;Valeur 3
11196;Table 1;* Immobilisations produites par l'entreprise pour elle-même;Valeur 1;Valeur 2;Valeur 3
11197;Table 1;* Immobilisations produites par l'entreprise pour elle-même;Valeur 1;Valeur 2;Valeur 3
11198;Table 1;* Immobilisations produites par l'entreprise pour elle-même;Valeur 1;Valeur 2;Valeur 3
11199;Table 1;* Immobilisations produites par l'entreprise pour elle-même;Valeur 1;Valeur 2;Valeur 3
11201;Table 1;* Subventions d'exploitation;Valeur 1;Valeur 2;Valeur 3
11202;Table 1;* Subventions d'exploitation;Valeur 1;Valeur 2;Valeur 3
11203;Table 1;* Subventions d'exploitation;Valeur 1;Valeur 2;Valeur 3
11204;Table 1;* Subventions d'exploitation;Valeur 1;Valeur 2;Valeur 3
11206;Table 1;* Autres produits d'exploitation;Valeur 1;Valeur 2;Valeur 3
11207;Table 1;* Autres produits d'exploitation;Valeur 1;Valeur 2;Valeur 3
11208;Table 1;* Autres produits d'exploitation;Valeur 1;Valeur 2;Valeur 3
11209;Table 1;* Autres produits d'exploitation;Valeur 1;Valeur 2;Valeur 3
11211;Table 1;* Reprises d'exploitation : transferts de charges;Valeur 1;Valeur 2;Valeur 3
11212;Table 1;* Reprises d'exploitation : transferts de charges;Valeur 1;Valeur 2;Valeur 3
11213;Table 1;* Reprises d'exploitation : transferts de charges;Valeur 1;Valeur 2;Valeur 3
11214;Table 1;* Reprises d'exploitation : transferts de charges;Valeur 1;Valeur 2;Valeur 3
11216;Table 1;Total I;Valeur 1;Valeur 2;Valeur 3
11217;Table 1;Total I;Valeur 1;Valeur 2;Valeur 3
11218;Table 1;Total I;Valeur 1;Valeur 2;Valeur 3
11219;Table 1;Total I;Valeur 1;Valeur 2;Valeur 3
11226;Table 1;II. CHARGES D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11227;Table 1;II. CHARGES D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11228;Table 1;II. CHARGES D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11229;Table 1;II. CHARGES D'EXPLOITATION;Valeur 1;Valeur 2;Valeur 3
11221;Table 1;* Achats revendus(2) de marchandises;Valeur 1;Valeur 2;Valeur 3
11222;Table 1;* Achats revendus(2) de marchandises;Valeur 1;Valeur 2;Valeur 3
11223;Table 1;* Achats revendus(2) de marchandises;Valeur 1;Valeur 2;Valeur 3
11224;Table 1;* Achats revendus(2) de marchandises;Valeur 1;Valeur 2;Valeur 3
11256;Table 1;* Achats consommés(2) de matières et fournitures;Valeur 1;Valeur 2;Valeur 3
11257;Table 1;* Achats consommés(2) de matières et fournitures;Valeur 1;Valeur 2;Valeur 3
